stand|서있기|uni_natural_stand_leftahead.ani|
walk|걷기|uni_natural_walk_12.ani|
run|달리기|uni_natural_run_12.ani|
casting|캐스팅|uni_tool_tequip_c02_magic_casting_friendly.ani|
healing|힐링|uni_tool_tequip_c02_magic_healing_processing_tome.ani|
smash2|스매쉬2|test_uni_natural_attack_smash_02.ani|
blowaway|날아감|test_uni_natural_blowaway.ani|
counter|카운터|test_uni_natural_counter.ani|
downattack|다운어택|test_uni_natural_downattack.ani|
dts|일어남|test_uni_natural_downb-to-stand.ani|
groggy|그로기|test_uni_natural_groggy.ani|
windmill_r|윈드밀누워서|uni_natural_windmill_rising.ani|
windmill_s|윈드밀서서|uni_natural_windmill_standing.ani|
golem_work|골렘걸음|uni_natural_emotion_golem_walk.ani|
test1|테스트1|uni_natural_emotion_test01.ani|
test2|테스트2|uni_natural_emotion_test02.ani|
test3|테스트3|uni_natural_emotion_test03.ani|
test4|테스트4|uni_natural_emotion_test04.ani|
test5|테스트5|uni_natural_emotion_test05.ani|
test6|테스트6|uni_natural_emotion_test06.ani|
test7|테스트7|uni_natural_emotion_test07.ani|
test8|테스트8|uni_natural_emotion_test08.ani|
test9|테스트9|uni_natural_emotion_test09.ani|
test10|테스트10|uni_natural_emotion_test10.ani|
test11|테스트11|uni_natural_emotion_test11.ani|
aing|아잉|uni_natural_emotion_test_aing.ani|
antabaka|안타바카?|uni_natural_emotion_test_antabaka.ani|
hey|헤이|uni_natural_emotion_test_hey.ani|
pushup|풋샵|uni_natural_emotion_test_pushup.ani|
tt|실패|uni_natural_emotion_test_tt.ani|
